;age;job;marital;education;default;balance;housing;loan;contact;day_of_week;month;duration;campaign;pdays;previous;poutcome
0;;;;;;;;;;;;;;;;
1;;;;;;;;;;;;;;;;
2;;;;;;;;;;;;;;;;
3;;;;;;;;;;;;;;;;
4;1,0338437186270844;0,0;0,0;1,0;0,0;0,32331856242083845;0,0;0,0;0,0;1,0;1,0;1,833602075992643;0,0;0,15535565811733076;0,3512164444697283;1,0
5;;;;;;;;;;;;;;;;
6;;;;;;;;;;;;;;;;
7;0,5169218593135421;1,0;0,0;1,0;0,0;0,09180650537875659;0,0;0,0;0,0;1,0;1,0;0,705231567689478;0,0;0,5848683599711276;0,0;0,0
8;1,2061510050649313;1,0;0,0;0,0;0,0;0,7382218753765235;0,0;0,0;0,0;0,0;1,0;0,36143117844085754;0,5913471334843485;0,8224711312093981;0,0;1,0
9;1,4646119347217026;1,0;1,0;0,0;0,0;0,8129532577742069;0,0;0,0;0,0;1,0;1,0;2,9663802815938674;0,0;0,32898845248375924;1,053649333409185;1,0
10;0,8615364321892367;1,0;0,0;1,0;0,0;0,47366834659184565;0,0;0,0;0,0;1,0;1,0;1,9393868111460646;0,5913471334843485;0,22846420311372173;0,3512164444697283;1,0
11;;;;;;;;;;;;;;;;
12;0,43076821609461835;1,0;0,0;1,0;0,0;1,4598121374597939;0,0;0,0;0,0;1,0;1,0;0,833054789333196;0,5913471334843485;1,0235196299494733;0,0;0,0
13;;;;;;;;;;;;;;;;
14;;;;;;;;;;;;;;;;
15;;;;;;;;;;;;;;;;
16;;;;;;;;;;;;;;;;
17;0,17230728643784743;1,0;0,0;1,0;0,0;0,8570824717123049;1,0;0,0;0,0;1,0;1,0;3,107426595131763;0,0;0,0;1,4048657778789133;0,0
18;;;;;;;;;;;;;;;;
19;;;;;;;;;;;;;;;;
20;;;;;;;;;;;;;;;;
21;;;;;;;;;;;;;;;;
22;;;;;;;;;;;;;;;;
23;;;;;;;;;;;;;;;;
24;;;;;;;;;;;;;;;;
25;;;;;;;;;;;;;;;;
26;;;;;;;;;;;;;;;;
27;;;;;;;;;;;;;;;;
28;;;;;;;;;;;;;;;;
29;0,08615364321892371;1,0;0,0;1,0;0,0;0,039472362215987156;0,0;0,0;0,0;1,0;1,0;1,4809862921479038;0,0;0,10966281749458662;1,4048657778789133;0,0
30;0,0861536432189236;1,0;0,0;1,0;0,0;0,4461707459470006;0,0;0,0;0,0;1,0;1,0;0,18953098381654726;0,0;0,34726558873285696;0,35121644446972833;0,0
31;;;;;;;;;;;;;;;;
32;;;;;;;;;;;;;;;;
33;0,7753827889703131;1,0;1,0;1,0;0,0;0,01685336813716304;0,0;0,0;0,0;0,0;0,0;1,4986170813401407;0,5913471334843485;0,17363279436642842;1,053649333409185;0,0
34;;;;;;;;;;;;;;;;
35;;;;;;;;;;;;;;;;
36;;;;;;;;;;;;;;;;
